id,publicaddress,caseNumber,precinct,reportedDate,reportedDateTime,offense,description,centerLong,centerLat,centerX,centerY,neighborhood
9471,KNOX AVE N / 27TH AVE N,MP2023314799,4,2023/11/25 00:00:00+00,2023/11/25 18:19:00+00,AUTOTH,AUTOMOBILE THEFT,-93.30189,45.00779,-10386319.17,5622748.162,Jordan
9472,28TH ST E / COLUMBUS AVE,MP2023314825,3,2023/11/25 00:00:00+00,2023/11/25 18:07:00+00,AUTOTH,AUTOMOBILE THEFT,-93.26391,44.95194,-10382090.53,5613958.965,Phillips West
9481,0037XX LYNDALE AVE S,MP2023315012,5,2023/11/25 00:00:00+00,2023/11/25 21:32:00+00,AUTOTH,AUTOMOBILE THEFT,-93.28823,44.93498,-10384798.7,5611290.442,King Field
9483,0028XX 13TH AVE S,MP2023315042,3,2023/11/25 00:00:00+00,2023/11/25 23:07:00+00,AUTOTH,AUTOMOBILE THEFT,-93.25629,44.95121,-10381242.88,5613843.0,Midtown Phillips
9484,0033XX LONGFELLOW AVE,MP2023315079,3,2023/11/25 00:00:00+00,2023/11/25 23:13:00+00,AUTOTH,AUTOMOBILE THEFT,-93.2461,44.94213,-10380107.88,5612416.055,Corcoran
9488,0043XX 15TH AVE S,MP2023315225,3,2023/11/26 00:00:00+00,2023/11/26 02:00:00+00,AUTOTH,AUTOMOBILE THEFT,-93.25366,44.92422,-10380950.49,5609600.066,Northrop
9491,0002XX 10TH AVE S,MP2023315312,1,2023/11/26 00:00:00+00,2023/11/26 06:22:00+00,AUTOTH,AUTOMOBILE THEFT,-93.25408,44.97651,-10380996.35,5617823.957,Downtown East
9495,0025XX LYNDALE AVE S,MP2023315448,5,2023/11/26 00:00:00+00,2023/11/26 12:32:00+00,AUTOTH,AUTOMOBILE THEFT,-93.28804,44.95644,-10384776.84,5614665.955,Whittier
9497,0028XX KNOX AVE S,MP2023315454,5,2023/11/26 00:00:00+00,2023/11/26 14:27:00+00,AUTOTH,AUTOMOBILE THEFT,-93.30498,44.94958,-10386663.18,5613586.705,East Isles
9499,6TH ST N / LOWRY AVE N,MP2023315577,4,2023/11/26 00:00:00+00,2023/11/26 16:25:00+00,AUTOTH,AUTOMOBILE THEFT,-93.28642,45.01296,-10384596.86,5623561.241,Hawthorne
9500,0046XX HUMBOLDT AVE N,MP2023315638,4,2023/11/26 00:00:00+00,2023/11/26 17:30:00+00,AUTOTH,AUTOMOBILE THEFT,-93.29911,45.0399,-10386009.34,5627804.702,Lind - Bohanon
9502,0035XX 46TH ST E,MP2023315645,3,2023/11/26 00:00:00+00,2023/11/26 16:56:00+00,AUTOTH,AUTOMOBILE THEFT,-93.22103,44.91969,-10377317.9,5608886.639,Ericsson
